2021-10-31 21:00:23   INFO       client.py                 Установлено соединение с сервером по адресу 127.0.0.1 через порт 7777
2021-10-31 21:02:25   DEBUG      decorators.py             Вызвана функция parameters_check из модуля common.utils с параметрами (['D:/GeekBrains/Клиент-серверные приложения/Project/client.py', '-p', '7777'],), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:02:25   INFO       client.py                 Установлено соединение с сервером по адресу 127.0.0.1 через порт 7777
2021-10-31 21:02:27   DEBUG      decorators.py             Вызвана функция create_message из модуля __main__ с параметрами (), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:02:27   INFO       client.py                 сформировано сообщение {'action': 'presence', 'time': 1635703347.6316907, 'user': {'account': 'Guest'}}
2021-10-31 21:02:27   DEBUG      decorators.py             Вызвана функция send_message из модуля common.utils с параметрами (<socket.socket fd=428, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65259), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1635703347.6316907, 'user': {'account': 'Guest'}}), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:02:27   INFO       client.py                 Сообщение отправлено серверу
2021-10-31 21:02:27   DEBUG      decorators.py             Вызвана функция receive_message из модуля common.utils с параметрами (<socket.socket fd=428, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65259), raddr=('127.0.0.1', 7777)>,), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:02:27   DEBUG      decorators.py             Вызвана функция process_server_response из модуля __main__ с параметрами ({'response': '200'},), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:02:27   INFO       client.py                 Принят ответ от сервера response 200: OK
2021-10-31 21:06:29   DEBUG      decorators.py             Вызвана функция parameters_check из модуля common.utils с параметрами (['D:/GeekBrains/Клиент-серверные приложения/Project/client.py', '-p', '7777'],), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:06:29   INFO       client.py                 Установлено соединение с сервером по адресу 127.0.0.1 через порт 7777
2021-10-31 21:06:32   DEBUG      decorators.py             Вызвана функция create_message из модуля __main__ с параметрами (), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:06:32   INFO       client.py                 сформировано сообщение {'action': 'presence', 'time': 1635703592.1347892, 'user': {'account': 'Guest'}}
2021-10-31 21:06:32   DEBUG      decorators.py             Вызвана функция send_message из модуля common.utils с параметрами (<socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54331), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1635703592.1347892, 'user': {'account': 'Guest'}}), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:06:32   INFO       client.py                 Сообщение отправлено серверу
2021-10-31 21:06:32   DEBUG      decorators.py             Вызвана функция receive_message из модуля common.utils с параметрами (<socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54331), raddr=('127.0.0.1', 7777)>,), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:06:32   DEBUG      decorators.py             Вызвана функция process_server_response из модуля __main__ с параметрами ({'response': '200'},), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:06:32   INFO       client.py                 Принят ответ от сервера response 200: OK
2021-11-01 18:14:22   DEBUG      client.py                 Вызвана функция parameters_check из модуля common.utils с параметрами (['D:/GeekBrains/Клиент-серверные приложения/Project/client.py', '-p', '7777'],), {}. Вызов произведен из функции main() файла client.py.
2021-11-01 18:14:22   INFO       client.py                 Установлено соединение с сервером по адресу 127.0.0.1 через порт 7777
2021-11-01 18:14:44   DEBUG      client.py                 Вызвана функция create_message из модуля __main__ с параметрами (), {}. Вызов произведен из функции main() файла client.py.
2021-11-01 18:14:44   INFO       client.py                 сформировано сообщение {'action': 'presence', 'time': 1635779684.2325113, 'user': {'account': 'Guest'}}
2021-11-01 18:14:44   DEBUG      client.py                 Вызвана функция send_message из модуля common.utils с параметрами (<socket.socket fd=368, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50080), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1635779684.2325113, 'user': {'account': 'Guest'}}), {}. Вызов произведен из функции main() файла client.py.
2021-11-01 18:14:44   INFO       client.py                 Сообщение отправлено серверу
2021-11-01 18:14:44   DEBUG      client.py                 Вызвана функция receive_message из модуля common.utils с параметрами (<socket.socket fd=368, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50080), raddr=('127.0.0.1', 7777)>,), {}. Вызов произведен из функции main() файла client.py.
2021-11-01 18:14:44   DEBUG      client.py                 Вызвана функция process_server_response из модуля __main__ с параметрами ({'response': '200'},), {}. Вызов произведен из функции main() файла client.py.
2021-11-01 18:14:44   INFO       client.py                 Принят ответ от сервера response 200: OK
